true_class,samples,correct,accuracy,accuracy_percent,esc50_key,AudioSet Label,AudioSet Quality (%),AudioSet Videos,log10_AudioSet_Videos
insects,40,5,0.125,12.5,insects,Insect,80,3164,3.500236474825639
footsteps,40,23,0.575,57.49999999999999,footsteps,"Walk, footsteps",90,1683,3.226084115975824
wind,40,23,0.575,57.49999999999999,wind,Wind,100,6805,3.8328281295393536
washing_machine,40,28,0.7,70.0,washing_machine,Washing machine,80,1053,3.0224283711854865
rooster,40,29,0.725,72.5,rooster,"Chicken, rooster",90,6352,3.8029104894190398
airplane,40,32,0.8,80.0,airplane,Aircraft,89,5476,3.7384634394619525
helicopter,40,32,0.8,80.0,helicopter,Helicopter,100,3698,3.567966906823154
crickets,40,32,0.8,80.0,crickets,Cricket,100,859,2.9339931638312424
rain,40,32,0.8,80.0,rain,Rain,80,4951,3.6946929263314843
engine,40,33,0.825,82.5,engine,Engine,100,16245,4.210719715681002
drinking_sipping,40,34,0.85,85.0,drinking_sipping,"Drinking, sipping",70,170,2.230448921378274
water_drops,40,35,0.875,87.5,water_drops,Drip,80,297,2.4727564493172123
pig,40,36,0.9,90.0,pig,Oink,100,1784,3.2513948500401044
mouse_click,40,36,0.9,90.0,mouse_click,Clicking,70,183,2.2624510897304293
vacuum_cleaner,40,37,0.925,92.5,vacuum_cleaner,Vacuum cleaner,90,1974,3.295347148333618
frog,40,37,0.925,92.5,frog,Croak,90,380,2.57978359661681
coughing,40,37,0.925,92.5,coughing,Cough,100,871,2.9400181550076634
clock_tick,40,37,0.925,92.5,clock_tick,Tick-tock,70,253,2.403120521175818
hen,40,38,0.95,95.0,hen,Cluck,90,2483,3.394976719554564
car_horn,40,38,0.95,95.0,car_horn,"Car horn, honking",80,504,2.7024305364455254
pouring_water,40,39,0.975,97.5,pouring_water,Pour,90,394,2.595496221825574
snoring,40,39,0.975,97.5,snoring,Snoring,100,2334,3.3681008517093516
breathing,40,39,0.975,97.5,breathing,Breathing,80,1015,3.0064660422492318
siren,40,39,0.975,97.5,siren,Siren,100,8498,3.9293167267534956
thunderstorm,40,39,0.975,97.5,thunderstorm,Thunder,90,1296,3.1126050015345745
sneezing,40,39,0.975,97.5,sneezing,Sneeze,100,1200,3.0791812460476247
can_opening,40,39,0.975,97.5,can_opening,Opening or closing,80,6367,3.803934849863842
chainsaw,40,39,0.975,97.5,chainsaw,Chainsaw,100,1787,3.252124552505644
door_wood_creaks,40,39,0.975,97.5,door_wood_creaks,Creak,80,544,2.73559889969818
chirping_birds,40,39,0.975,97.5,chirping_birds,"Bird vocalization, bird call, bird song",100,6372,3.804275767129094
crackling_fire,40,39,0.975,97.5,crackling_fire,Crackle,80,554,2.74350976472843
hand_saw,40,40,1.0,100.0,hand_saw,Sawing,100,804,2.905256048748451
cat,40,40,1.0,100.0,cat,Cat,100,3964,3.598133645813238
train,40,40,1.0,100.0,train,Rail transport,100,9052,3.956744545282691
toilet_flush,40,40,1.0,100.0,toilet_flush,Toilet flush,90,2243,3.350829273582968
church_bells,40,40,1.0,100.0,church_bells,Church bell,90,1202,3.079904467666721
clapping,40,40,1.0,100.0,clapping,Clapping,80,1416,3.15106325335375
clock_alarm,40,40,1.0,100.0,clock_alarm,Alarm clock,70,582,2.7649229846498886
sheep,40,40,1.0,100.0,sheep,Bleat,100,2078,3.3176455432211585
sea_waves,40,40,1.0,100.0,sea_waves,"Waves, surf",80,891,2.949877704036875
cow,40,40,1.0,100.0,cow,Moo,90,689,2.8382192219076257
crow,40,40,1.0,100.0,crow,Crow,80,943,2.9745116927373285
crying_baby,40,40,1.0,100.0,crying_baby,"Baby cry, infant cry",100,2390,3.3783979009481375
dog,40,40,1.0,100.0,dog,Dog,100,13705,4.1368790398755175
laughing,40,40,1.0,100.0,laughing,Laughter,100,5696,3.7555699806288
keyboard_typing,40,40,1.0,100.0,keyboard_typing,Computer keyboard,100,2042,3.3100557377508912
door_wood_knock,40,40,1.0,100.0,door_wood_knock,Knock,70,279,2.4456042032735974
fireworks,40,40,1.0,100.0,fireworks,Fireworks,100,3051,3.484442207642407
brushing_teeth,40,40,1.0,100.0,brushing_teeth,Toothbrush,70,74,1.8692317197309762
glass_breaking,40,40,1.0,100.0,glass_breaking,Glass,90,845,2.926856708949692
