true_class,samples,correct,accuracy,accuracy_percent
insects,40,5,0.125,12.5
footsteps,40,23,0.575,57.49999999999999
wind,40,23,0.575,57.49999999999999
washing_machine,40,28,0.7,70.0
rooster,40,29,0.725,72.5
airplane,40,32,0.8,80.0
helicopter,40,32,0.8,80.0
crickets,40,32,0.8,80.0
rain,40,32,0.8,80.0
engine,40,33,0.825,82.5
drinking_sipping,40,34,0.85,85.0
water_drops,40,35,0.875,87.5
pig,40,36,0.9,90.0
mouse_click,40,36,0.9,90.0
vacuum_cleaner,40,37,0.925,92.5
frog,40,37,0.925,92.5
coughing,40,37,0.925,92.5
clock_tick,40,37,0.925,92.5
hen,40,38,0.95,95.0
car_horn,40,38,0.95,95.0
pouring_water,40,39,0.975,97.5
snoring,40,39,0.975,97.5
breathing,40,39,0.975,97.5
siren,40,39,0.975,97.5
thunderstorm,40,39,0.975,97.5
sneezing,40,39,0.975,97.5
can_opening,40,39,0.975,97.5
chainsaw,40,39,0.975,97.5
door_wood_creaks,40,39,0.975,97.5
chirping_birds,40,39,0.975,97.5
crackling_fire,40,39,0.975,97.5
hand_saw,40,40,1.0,100.0
cat,40,40,1.0,100.0
train,40,40,1.0,100.0
toilet_flush,40,40,1.0,100.0
church_bells,40,40,1.0,100.0
clapping,40,40,1.0,100.0
clock_alarm,40,40,1.0,100.0
sheep,40,40,1.0,100.0
sea_waves,40,40,1.0,100.0
cow,40,40,1.0,100.0
crow,40,40,1.0,100.0
crying_baby,40,40,1.0,100.0
dog,40,40,1.0,100.0
laughing,40,40,1.0,100.0
keyboard_typing,40,40,1.0,100.0
door_wood_knock,40,40,1.0,100.0
fireworks,40,40,1.0,100.0
brushing_teeth,40,40,1.0,100.0
glass_breaking,40,40,1.0,100.0
