rank,strategy,template,top1_accuracy,total_runtime_seconds,runtime_per_audio_seconds,top1_accuracy_percent
1,audio_recording,an audio recording of {},0.9115,1406.4444041252136,0.7032222020626068,91.14999999999999
2,sound_clip,a sound clip of {},0.876,1476.5491859912872,0.7382745929956436,87.6
3,recording_sound,a recording of the sound of {},0.8755,1498.8714685440063,0.7494357342720032,87.55
4,a_class,a {},0.87,1407.5586450099945,0.7037793225049973,87.0
5,heard_sound,the sound of {} can be heard,0.851,1481.9448585510254,0.7409724292755127,85.1
6,sound_of_a,the sound of a {},0.849,1384.1393585205078,0.6920696792602539,84.89999999999999
7,sound_of,the sound of {},0.8375,1390.9245018959045,0.6954622509479522,83.75
8,this_is_sound,this is the sound of {},0.831,1536.9473226070404,0.7684736613035202,83.1
9,class_only,{},0.8305,1451.5394923686981,0.7257697461843491,83.05
10,environmental_sound,an environmental sound of {},0.8185,1498.5451650619507,0.7492725825309754,81.85
